occurrenceID,decimalLatitude,decimalLongitude,eventDate
CTP050612008321A00034a,29.9555,78.2962,2006-01-11
CTP050612008324A00035a,29.9553,78.2879,2006-01-12
CTP050612007211A00152a,29.9308,78.3095,2007-05-06
CTP050612007272A00017a,29.9435,78.2783,2007-04-17
CTP050612008333A00043a,29.9566,78.283,2005-01-06
CTP050612007272A00420a,29.9435,78.2783,2007-04-17
CTP050612007265A00014a,29.9488,78.2889,2007-05-21
CTP050612009120A00015a,29.8862,78.3044,2009-10-30
CTP050612008321A00092a,29.9555,78.2962,
CTP050612009073A00086a,29.8755,78.3104,2009-11-06
CTP050612008321A00071a,29.9555,78.2962,2006-01-12
CTP050612008324A00115a,29.9553,78.2879,
CTP050612008324A00081a,29.9553,78.2879,
CTP050612006530A00011a,30.0048,78.2498,2006-04-07
CTP050612009212A00023a,29.93,78.3062,2009-11-12
CTP050612007333A00001a,29.9566,78.2835,2007-04-25
CTP050612007272A00010a,29.9435,78.2783,2007-04-17
CTP050612009262A00313a,29.9341,78.2912,2009-11-21
CTP050612009420A00102a,29.9702,78.2304,2009-12-13
CTP050612007265A00012a,29.9488,78.2889,2007-05-21
CTP050612009333A00078a,29.9566,78.2835,
CTP050612009030A00202a,29.8578,78.324,2009-11-03
CTP050612009321A00104a,29.9555,78.2962,
CTP050612006172A00044a,29.8999,78.3008,2006-01-04
CTP050612007211A00425a,29.9308,78.3095,2007-05-13
CTP050612007211A00153a,29.9308,78.3095,2007-05-06
CTP050612007272A00421a,29.9435,78.2783,2007-04-17
CTP050612006211A00013a,29.9308,78.3095,2006-02-03
CTP050612008267A00046a,29.9491,78.2942,2006-01-11
CTP050612006422A00008a,29.9811,78.234,2006-04-10
CTP050612006323A00021a,29.9623,78.2877,2006-02-28
CTP050612009284A00536a,29.9414,78.2474,2009-12-18
CTP050612008267A00032a,29.9491,78.2942,2006-01-11
CTP050612007211A00150a,29.9308,78.3095,2007-05-06
CTP050612007272A00011a,29.9435,78.2783,2007-04-17
CTP050612009072A00165a,29.8703,78.321,2009-11-06
CTP050612006211A00012a,29.9308,78.3095,2006-02-01
CTP050612008351A00101a,29.9541,78.2226,
